MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
11/3/2022,MEC.PPWIND,Gennode,LMP,-22.15,-22.75,-21.96,-22.95,-22.37,-20.42,-11.78,-7.94,-8.33,-5.31,-6.85,-8.51,-7.16,-8.89,-7.81,-6.52,-2.61,3.97,13.63,4.72,0.94,-4.07,-3.99,-3.38,2022_Oct-Dec_DA_LMPs.zip
11/4/2022,MEC.PPWIND,Gennode,LMP,-7.84,-7.13,-2.87,-0.81,0.23,8.03,22.48,25.4,28.02,34.14,32.28,34.46,32.63,32.8,26.13,24.71,26.85,43.59,46.61,31.4,20.6,16.17,10.36,4.3,2022_Oct-Dec_DA_LMPs.zip
11/5/2022,MEC.PPWIND,Gennode,LMP,2.37,-0.66,-1.55,-1.25,0.67,4.6,12.22,19.99,20.04,24.34,23.53,21.66,14.49,12.53,10.1,9.09,7.99,15.34,6.66,-1.83,-8.13,-11.09,-15.18,-15.82,2022_Oct-Dec_DA_LMPs.zip
11/6/2022,MEC.PPWIND,Gennode,LMP,-13.11,-13.39,-11.63,-12.52,-10.77,-9.07,-7.61,-2.68,2.52,5.61,2.8,-5.46,-8.19,-8.1,-9.22,-5.42,-0.96,11.81,32.9,18.42,17.77,11.96,6.42,11.65,2022_Oct-Dec_DA_LMPs.zip
11/7/2022,MEC.PPWIND,Gennode,LMP,5.86,10.76,16.21,17.03,20.84,26.88,40.8,54.93,57.08,57.16,63.85,61.22,59.33,51.25,44.04,35.04,29.68,29.54,40.98,30.08,13.08,6.85,3.29,0.87,2022_Oct-Dec_DA_LMPs.zip
11/8/2022,MEC.PPWIND,Gennode,LMP,-8.41,-10.71,-9.06,-9.39,-9.94,-11.0,-8.68,-2.5,-3.07,-6.63,-5.2,-4.63,-2.48,-2.6,-7.65,-6.67,-7.22,0.04,-0.64,-3.95,-5.7,-7.9,-8.15,-9.52,2022_Oct-Dec_DA_LMPs.zip
11/9/2022,MEC.PPWIND,Gennode,LMP,-27.51,-14.0,-14.0,-14.0,-14.12,-15.01,-10.93,-5.0,2.92,7.14,7.89,8.05,3.14,3.94,3.84,5.22,10.11,15.87,18.04,4.8,-0.26,-5.2,-6.69,-8.88,2022_Oct-Dec_DA_LMPs.zip
11/10/2022,MEC.PPWIND,Gennode,LMP,-27.41,-27.51,-27.61,-27.49,-27.41,-27.62,-27.26,-27.33,2.35,2.85,0.71,0.36,0.02,-15.0,-15.01,-13.0,-13.65,5.47,6.44,2.14,-14.0,-25.0,-27.46,-27.51,2022_Oct-Dec_DA_LMPs.zip
11/11/2022,MEC.PPWIND,Gennode,LMP,-27.01,-24.01,-14.3,-14.54,-5.2,-6.0,-0.04,2.41,-11.2,-11.17,-17.0,-15.0,-12.0,-12.0,1.17,2.77,6.4,22.27,28.82,18.71,13.92,13.06,10.21,11.56,2022_Oct-Dec_DA_LMPs.zip
11/12/2022,MEC.PPWIND,Gennode,LMP,16.03,16.04,17.17,16.45,17.64,20.39,27.56,34.63,33.51,38.51,41.97,43.19,40.6,38.83,37.38,38.42,45.42,64.5,65.75,58.35,53.36,59.88,59.97,54.08,2022_Oct-Dec_DA_LMPs.zip
11/13/2022,MEC.PPWIND,Gennode,LMP,50.28,45.78,45.78,44.74,47.06,48.58,57.72,63.5,59.86,62.97,58.47,52.94,48.57,45.38,43.03,43.25,49.5,68.91,69.8,56.62,49.39,41.0,37.87,33.79,2022_Oct-Dec_DA_LMPs.zip
11/14/2022,MEC.PPWIND,Gennode,LMP,39.22,35.86,38.78,36.75,40.0,43.24,61.27,77.89,73.05,68.5,67.2,64.61,66.38,57.45,59.1,59.01,66.44,88.64,93.94,82.29,74.22,68.8,57.22,59.73,2022_Oct-Dec_DA_LMPs.zip
11/15/2022,MEC.PPWIND,Gennode,LMP,63.66,57.37,57.11,55.78,57.3,60.79,74.16,88.68,74.77,77.94,75.97,76.51,71.81,67.56,59.68,52.27,50.23,68.55,66.61,50.34,42.32,36.76,28.14,18.27,2022_Oct-Dec_DA_LMPs.zip
11/16/2022,MEC.PPWIND,Gennode,LMP,31.78,19.0,-7.5,4.0,-7.5,-10.01,-4.63,-9.81,8.24,-7.5,-24.08,0.25,-18.66,4.32,28.27,29.18,35.17,54.75,56.15,40.1,34.79,32.4,32.16,29.83,2022_Oct-Dec_DA_LMPs.zip
11/17/2022,MEC.PPWIND,Gennode,LMP,27.38,24.69,24.61,19.47,16.78,18.48,12.46,16.91,11.94,13.37,-14.0,-12.0,-14.0,-15.0,-15.0,2.8,3.6,10.2,14.7,11.76,5.7,5.7,4.67,2.82,2022_Oct-Dec_DA_LMPs.zip
